# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 69K of event 'cpu-clock:pppH'
# Event count (approx.): 17286500000
#
# Overhead  Command          Shared Object       Symbol                                                                
# ........  ...............  ..................  ......................................................................
#
     0.06%  DartWorker       [kernel.vmlinux]    [k] hrtimer_start_range_ns
     0.06%  DartWorker       [kernel.vmlinux]    [k] tcp_queue_rcv
     0.06%  DartWorker       benchmark.exe       [.] 0x0000000000334a68
     0.06%  DartWorker       libpthread-2.31.so  [.] __pthread_mutex_unlock
     0.06%  DartWorker       libtransport.so     [.] fiber_channel_get_timeout
     0.06%  DartWorker       [kernel.vmlinux]    [k] io_prep_rw
     0.06%  DartWorker       [kernel.vmlinux]    [k] io_read
     0.06%  DartWorker       benchmark.exe       [.] 0x00000000005325f7
     0.06%  DartWorker       libpthread-2.31.so  [.] __pthread_disable_asynccancel
     0.05%  DartWorker       [nf_tables]         [k] nft_do_chain_ipv4
     0.05%  DartWorker       benchmark.exe       [.] 0x000000000034b703
     0.05%  DartWorker       libtransport.so     [.] transport_channel_receive
     0.05%  DartWorker       [kernel.vmlinux]    [k] __check_object_size
     0.05%  DartWorker       [kernel.vmlinux]    [k] mutex_unlock
     0.05%  DartWorker       benchmark.exe       [.] 0x0000000000536bec
     0.05%  DartWorker       benchmark.exe       [.] 0x000000000054c9b8
     0.05%  DartWorker       [kernel.vmlinux]    [k] fget
     0.05%  DartWorker       [kernel.vmlinux]    [k] tcp_rcv_established
     0.05%  DartWorker       [nf_nat]            [k] nf_nat_inet_fn
     0.05%  DartWorker       benchmark.exe       [.] 0x0000000000532b83
     0.05%  DartWorker       benchmark.exe       [.] 0x000000000057e893
     0.05%  DartWorker       benchmark.exe       [.] 0x00000000003541a0
     0.05%  DartWorker       benchmark.exe       [.] 0x00000000003d6216
     0.05%  DartWorker       benchmark.exe       [.] 0x00000000005995e3
     0.05%  DartWorker       [kernel.vmlinux]    [k] __local_bh_enable_ip
     0.05%  DartWorker       [kernel.vmlinux]    [k] io_sendmsg_prep
     0.05%  DartWorker       [kernel.vmlinux]    [k] ktime_get
     0.05%  DartWorker       [kernel.vmlinux]    [k] tcp_current_mss
     0.05%  DartWorker       benchmark.exe       [.] 0x00000000003d6237
