# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 69K of event 'cpu-clock:pppH'
# Event count (approx.): 17286500000
#
# Overhead  Command          Shared Object       Symbol                                                                
# ........  ...............  ..................  ......................................................................
#
     0.00%  DartWorker       benchmark.exe       [.] 0x000000000033e900
     0.00%  DartWorker       benchmark.exe       [.] 0x000000000033e950
     0.00%  DartWorker       benchmark.exe       [.] 0x000000000033ed8a
     0.00%  DartWorker       benchmark.exe       [.] 0x000000000033ef4c
     0.00%  DartWorker       benchmark.exe       [.] 0x00000000003405ef
     0.00%  DartWorker       benchmark.exe       [.] 0x0000000000340606
     0.00%  DartWorker       benchmark.exe       [.] 0x00000000003421b0
     0.00%  DartWorker       benchmark.exe       [.] 0x00000000003423d2
     0.00%  DartWorker       benchmark.exe       [.] 0x00000000003457fb
     0.00%  DartWorker       benchmark.exe       [.] 0x000000000034741b
     0.00%  DartWorker       benchmark.exe       [.] 0x00000000003476d0
     0.00%  DartWorker       benchmark.exe       [.] 0x00000000003476e2
     0.00%  DartWorker       benchmark.exe       [.] 0x000000000034772b
     0.00%  DartWorker       benchmark.exe       [.] 0x000000000034820c
     0.00%  DartWorker       benchmark.exe       [.] 0x0000000000349561
     0.00%  DartWorker       benchmark.exe       [.] 0x0000000000349935
     0.00%  DartWorker       benchmark.exe       [.] 0x000000000034a07a
     0.00%  DartWorker       benchmark.exe       [.] 0x000000000034a762
     0.00%  DartWorker       benchmark.exe       [.] 0x000000000034a7d0
     0.00%  DartWorker       benchmark.exe       [.] 0x000000000034a830
     0.00%  DartWorker       benchmark.exe       [.] 0x000000000034a835
     0.00%  DartWorker       benchmark.exe       [.] 0x000000000034a862
     0.00%  DartWorker       benchmark.exe       [.] 0x000000000034a871
     0.00%  DartWorker       benchmark.exe       [.] 0x000000000034ab00
     0.00%  DartWorker       benchmark.exe       [.] 0x000000000034b44a
     0.00%  DartWorker       benchmark.exe       [.] 0x000000000034b4db
     0.00%  DartWorker       benchmark.exe       [.] 0x000000000034b611
     0.00%  DartWorker       benchmark.exe       [.] 0x000000000034b680
     0.00%  DartWorker       benchmark.exe       [.] 0x000000000034b695
     0.00%  DartWorker       benchmark.exe       [.] 0x000000000034b69c
     0.00%  DartWorker       benchmark.exe       [.] 0x000000000034b6a7
     0.00%  DartWorker       benchmark.exe       [.] 0x000000000034b7f4
     0.00%  DartWorker       benchmark.exe       [.] 0x000000000034b814
     0.00%  DartWorker       benchmark.exe       [.] 0x000000000034b988
     0.00%  DartWorker       benchmark.exe       [.] 0x000000000034c2fe
     0.00%  DartWorker       benchmark.exe       [.] 0x000000000034c302
     0.00%  DartWorker       benchmark.exe       [.] 0x000000000034c382
     0.00%  DartWorker       benchmark.exe       [.] 0x000000000034d41b
     0.00%  DartWorker       benchmark.exe       [.] 0x000000000034d7b2
     0.00%  DartWorker       benchmark.exe       [.] 0x000000000034eebd
     0.00%  DartWorker       benchmark.exe       [.] 0x000000000034ef1c
     0.00%  DartWorker       benchmark.exe       [.] 0x000000000034ef20
     0.00%  DartWorker       benchmark.exe       [.] 0x000000000034ef3e
     0.00%  DartWorker       benchmark.exe       [.] 0x000000000034ef42
     0.00%  DartWorker       benchmark.exe       [.] 0x000000000035109d
     0.00%  DartWorker       benchmark.exe       [.] 0x00000000003510ab
     0.00%  DartWorker       benchmark.exe       [.] 0x00000000003510f3
     0.00%  DartWorker       benchmark.exe       [.] 0x0000000000354243
     0.00%  DartWorker       benchmark.exe       [.] 0x0000000000357493
     0.00%  DartWorker       benchmark.exe       [.] 0x000000000039dc00
     0.00%  DartWorker       benchmark.exe       [.] 0x000000000039e9d2
     0.00%  DartWorker       benchmark.exe       [.] 0x000000000039edac
     0.00%  DartWorker       benchmark.exe       [.] 0x000000000039ee3c
     0.00%  DartWorker       benchmark.exe       [.] 0x000000000039fe00
     0.00%  DartWorker       benchmark.exe       [.] 0x000000000039fe74
     0.00%  DartWorker       benchmark.exe       [.] 0x000000000039feab
     0.00%  DartWorker       benchmark.exe       [.] 0x00000000003d4350
     0.00%  DartWorker       benchmark.exe       [.] 0x00000000003d618d
     0.00%  DartWorker       benchmark.exe       [.] 0x00000000003d62d5
     0.00%  DartWorker       benchmark.exe       [.] 0x00000000003d68c0
     0.00%  DartWorker       benchmark.exe       [.] 0x00000000003d9160
     0.00%  DartWorker       benchmark.exe       [.] 0x00000000003d91c0
     0.00%  DartWorker       benchmark.exe       [.] 0x00000000003d9237
     0.00%  DartWorker       benchmark.exe       [.] 0x00000000003d9250
     0.00%  DartWorker       benchmark.exe       [.] 0x00000000003d9295
     0.00%  DartWorker       benchmark.exe       [.] 0x00000000003e6cd0
     0.00%  DartWorker       benchmark.exe       [.] 0x00000000003ee8b1
     0.00%  DartWorker       benchmark.exe       [.] 0x00000000003ee8b4
     0.00%  DartWorker       benchmark.exe       [.] 0x00000000003ee8d4
     0.00%  DartWorker       benchmark.exe       [.] 0x00000000003ee94e
     0.00%  DartWorker       benchmark.exe       [.] 0x00000000003ee97c
     0.00%  DartWorker       benchmark.exe       [.] 0x00000000003ee981
     0.00%  DartWorker       benchmark.exe       [.] 0x00000000003ee9bd
     0.00%  DartWorker       benchmark.exe       [.] 0x00000000003eeb36
     0.00%  DartWorker       benchmark.exe       [.] 0x00000000003eeb39
     0.00%  DartWorker       benchmark.exe       [.] 0x0000000000494970
     0.00%  DartWorker       benchmark.exe       [.] 0x0000000000532528
     0.00%  DartWorker       benchmark.exe       [.] 0x0000000000532574
     0.00%  DartWorker       benchmark.exe       [.] 0x000000000053257e
     0.00%  DartWorker       benchmark.exe       [.] 0x0000000000532b8c
     0.00%  DartWorker       benchmark.exe       [.] 0x0000000000532b9d
     0.00%  DartWorker       benchmark.exe       [.] 0x0000000000536bd0
     0.00%  DartWorker       benchmark.exe       [.] 0x000000000053c1b1
     0.00%  DartWorker       benchmark.exe       [.] 0x000000000054671b
     0.00%  DartWorker       benchmark.exe       [.] 0x000000000054b9f6
     0.00%  DartWorker       benchmark.exe       [.] 0x000000000054ba1d
     0.00%  DartWorker       benchmark.exe       [.] 0x000000000054ba65
     0.00%  DartWorker       benchmark.exe       [.] 0x000000000054babe
     0.00%  DartWorker       benchmark.exe       [.] 0x000000000054baf7
     0.00%  DartWorker       benchmark.exe       [.] 0x000000000054bb02
     0.00%  DartWorker       benchmark.exe       [.] 0x000000000054bb34
     0.00%  DartWorker       benchmark.exe       [.] 0x000000000057e95c
     0.00%  DartWorker       benchmark.exe       [.] 0x000000000057eb28
     0.00%  DartWorker       benchmark.exe       [.] 0x000000000057ecb1
     0.00%  DartWorker       benchmark.exe       [.] 0x00000000005847d0
     0.00%  DartWorker       benchmark.exe       [.] 0x0000000000597b88
     0.00%  DartWorker       benchmark.exe       [.] 0x0000000000597b8c
     0.00%  DartWorker       benchmark.exe       [.] 0x0000000000597dc8
     0.00%  DartWorker       benchmark.exe       [.] 0x0000000000597e1a
     0.00%  DartWorker       benchmark.exe       [.] 0x0000000000597f89
     0.00%  DartWorker       benchmark.exe       [.] 0x000000000059966b
     0.00%  DartWorker       libpthread-2.31.so  [.] __pthread_mutex_destroy
     0.00%  DartWorker       libtransport.so     [.] malloc@plt
     0.00%  DartWorker       [kernel.vmlinux]    [k] __kfree_skb
     0.00%  DartWorker       [kernel.vmlinux]    [k] folio_add_lru
     0.00%  DartWorker       [kernel.vmlinux]    [k] inet_send_prepare
     0.00%  DartWorker       [kernel.vmlinux]    [k] io_poll_check_events
     0.00%  DartWorker       [kernel.vmlinux]    [k] io_req_task_submit
     0.00%  DartWorker       [kernel.vmlinux]    [k] is_vmalloc_addr
     0.00%  DartWorker       [kernel.vmlinux]    [k] mutex_trylock
     0.00%  DartWorker       [kernel.vmlinux]    [k] plist_del
     0.00%  DartWorker       [kernel.vmlinux]    [k] sk_reset_timer
     0.00%  DartWorker       [kernel.vmlinux]    [k] skb_free_head
     0.00%  DartWorker       [kernel.vmlinux]    [k] skb_network_protocol
     0.00%  DartWorker       [kernel.vmlinux]    [k] tcp_push
     0.00%  DartWorker       [kernel.vmlinux]    [k] tcp_rack_advance
     0.00%  DartWorker       [kernel.vmlinux]    [k] tcp_v4_send_check
     0.00%  DartWorker       [kernel.vmlinux]    [k] unmap_page_range
     0.00%  DartWorker       [kernel.vmlinux]    [k] update_blocked_averages
     0.00%  DartWorker       [nf_conntrack]      [k] __nf_ct_refresh_acct
     0.00%  DartWorker       benchmark.exe       [.] 0x00000000001e97e1
     0.00%  DartWorker       benchmark.exe       [.] 0x00000000001e982d
     0.00%  DartWorker       benchmark.exe       [.] 0x00000000001eac32
     0.00%  DartWorker       benchmark.exe       [.] 0x00000000001eac3c
     0.00%  DartWorker       benchmark.exe       [.] 0x00000000001eac47
     0.00%  DartWorker       benchmark.exe       [.] 0x000000000030ae44
     0.00%  DartWorker       benchmark.exe       [.] 0x000000000030ae55
     0.00%  DartWorker       benchmark.exe       [.] 0x000000000030b9f9
     0.00%  DartWorker       benchmark.exe       [.] 0x000000000030ba62
     0.00%  DartWorker       benchmark.exe       [.] 0x000000000030ba66
     0.00%  DartWorker       benchmark.exe       [.] 0x000000000030c296
     0.00%  DartWorker       benchmark.exe       [.] 0x000000000030c299
     0.00%  DartWorker       benchmark.exe       [.] 0x000000000030c29a
     0.00%  DartWorker       benchmark.exe       [.] 0x000000000030c2ac
     0.00%  DartWorker       benchmark.exe       [.] 0x000000000030c2ce
     0.00%  DartWorker       benchmark.exe       [.] 0x000000000030c2d4
     0.00%  DartWorker       benchmark.exe       [.] 0x000000000030c2dc
     0.00%  DartWorker       benchmark.exe       [.] 0x000000000030c367
     0.00%  DartWorker       benchmark.exe       [.] 0x000000000030c38b
     0.00%  DartWorker       benchmark.exe       [.] 0x000000000030e978
     0.00%  DartWorker       benchmark.exe       [.] 0x0000000000312d31
     0.00%  DartWorker       benchmark.exe       [.] 0x0000000000312d3d
     0.00%  DartWorker       benchmark.exe       [.] 0x0000000000312dfe
     0.00%  DartWorker       benchmark.exe       [.] 0x0000000000312e05
     0.00%  DartWorker       benchmark.exe       [.] 0x0000000000312e1d
     0.00%  DartWorker       benchmark.exe       [.] 0x000000000031a3b4
     0.00%  DartWorker       benchmark.exe       [.] 0x000000000032295e
     0.00%  DartWorker       benchmark.exe       [.] 0x00000000003229d1
     0.00%  DartWorker       benchmark.exe       [.] 0x0000000000322a55
     0.00%  DartWorker       benchmark.exe       [.] 0x0000000000322a5d
     0.00%  DartWorker       benchmark.exe       [.] 0x0000000000322a6a
     0.00%  DartWorker       benchmark.exe       [.] 0x0000000000329c03
     0.00%  DartWorker       benchmark.exe       [.] 0x0000000000329c07
     0.00%  DartWorker       benchmark.exe       [.] 0x0000000000329c39
     0.00%  DartWorker       benchmark.exe       [.] 0x0000000000329c7b
     0.00%  DartWorker       benchmark.exe       [.] 0x00000000003348f9
     0.00%  DartWorker       benchmark.exe       [.] 0x0000000000334908
     0.00%  DartWorker       benchmark.exe       [.] 0x0000000000334920
     0.00%  DartWorker       benchmark.exe       [.] 0x0000000000334957
     0.00%  DartWorker       benchmark.exe       [.] 0x000000000033496f
     0.00%  DartWorker       benchmark.exe       [.] 0x0000000000334978
     0.00%  DartWorker       benchmark.exe       [.] 0x00000000003349b5
     0.00%  DartWorker       benchmark.exe       [.] 0x00000000003349d3
     0.00%  DartWorker       benchmark.exe       [.] 0x0000000000334a29
     0.00%  DartWorker       benchmark.exe       [.] 0x0000000000334a36
     0.00%  DartWorker       benchmark.exe       [.] 0x0000000000334a60
     0.00%  DartWorker       benchmark.exe       [.] 0x0000000000336869
     0.00%  DartWorker       benchmark.exe       [.] 0x000000000033689c
     0.00%  DartWorker       benchmark.exe       [.] 0x00000000003368b5
     0.00%  DartWorker       benchmark.exe       [.] 0x00000000003368db
     0.00%  DartWorker       benchmark.exe       [.] 0x0000000000336907
     0.00%  DartWorker       benchmark.exe       [.] 0x000000000033697b
     0.00%  DartWorker       benchmark.exe       [.] 0x00000000003369dd
     0.00%  DartWorker       benchmark.exe       [.] 0x0000000000336fe4
     0.00%  DartWorker       benchmark.exe       [.] 0x000000000033e7e7
     0.00%  DartWorker       benchmark.exe       [.] 0x000000000033e847
     0.00%  DartWorker       benchmark.exe       [.] 0x000000000033e901
     0.00%  DartWorker       benchmark.exe       [.] 0x000000000033e971
     0.00%  DartWorker       benchmark.exe       [.] 0x000000000033ed76
     0.00%  DartWorker       benchmark.exe       [.] 0x000000000033ee8a
     0.00%  DartWorker       benchmark.exe       [.] 0x000000000033ef5c
     0.00%  DartWorker       benchmark.exe       [.] 0x0000000000340543
     0.00%  DartWorker       benchmark.exe       [.] 0x00000000003406b1
     0.00%  DartWorker       benchmark.exe       [.] 0x0000000000340720
     0.00%  DartWorker       benchmark.exe       [.] 0x0000000000340741
     0.00%  DartWorker       benchmark.exe       [.] 0x00000000003420d0
     0.00%  DartWorker       benchmark.exe       [.] 0x00000000003420d6
     0.00%  DartWorker       benchmark.exe       [.] 0x0000000000342259
     0.00%  DartWorker       benchmark.exe       [.] 0x0000000000342283
     0.00%  DartWorker       benchmark.exe       [.] 0x00000000003423e7
     0.00%  DartWorker       benchmark.exe       [.] 0x00000000003424e5
     0.00%  DartWorker       benchmark.exe       [.] 0x0000000000343951
     0.00%  DartWorker       benchmark.exe       [.] 0x0000000000343959
     0.00%  DartWorker       benchmark.exe       [.] 0x00000000003456e6
     0.00%  DartWorker       benchmark.exe       [.] 0x0000000000345775
     0.00%  DartWorker       benchmark.exe       [.] 0x00000000003457aa
     0.00%  DartWorker       benchmark.exe       [.] 0x000000000034585c
     0.00%  DartWorker       benchmark.exe       [.] 0x00000000003458d0
     0.00%  DartWorker       benchmark.exe       [.] 0x00000000003458d4
     0.00%  DartWorker       benchmark.exe       [.] 0x00000000003473f1
     0.00%  DartWorker       benchmark.exe       [.] 0x0000000000347431
     0.00%  DartWorker       benchmark.exe       [.] 0x00000000003476d6
     0.00%  DartWorker       benchmark.exe       [.] 0x00000000003477a9
     0.00%  DartWorker       benchmark.exe       [.] 0x00000000003477ad
     0.00%  DartWorker       benchmark.exe       [.] 0x0000000000347b3e
     0.00%  DartWorker       benchmark.exe       [.] 0x0000000000347c06
     0.00%  DartWorker       benchmark.exe       [.] 0x0000000000347d21
     0.00%  DartWorker       benchmark.exe       [.] 0x0000000000347d32
     0.00%  DartWorker       benchmark.exe       [.] 0x0000000000347e78
     0.00%  DartWorker       benchmark.exe       [.] 0x0000000000347e91
     0.00%  DartWorker       benchmark.exe       [.] 0x0000000000348281
     0.00%  DartWorker       benchmark.exe       [.] 0x00000000003483b8
     0.00%  DartWorker       benchmark.exe       [.] 0x0000000000348900
     0.00%  DartWorker       benchmark.exe       [.] 0x0000000000348907
     0.00%  DartWorker       benchmark.exe       [.] 0x0000000000348920
     0.00%  DartWorker       benchmark.exe       [.] 0x00000000003489e0
     0.00%  DartWorker       benchmark.exe       [.] 0x00000000003489eb
     0.00%  DartWorker       benchmark.exe       [.] 0x0000000000348a2e
     0.00%  DartWorker       benchmark.exe       [.] 0x00000000003490a4
     0.00%  DartWorker       benchmark.exe       [.] 0x0000000000349952
     0.00%  DartWorker       benchmark.exe       [.] 0x0000000000349fa1
     0.00%  DartWorker       benchmark.exe       [.] 0x0000000000349fb9
     0.00%  DartWorker       benchmark.exe       [.] 0x000000000034a0b8
     0.00%  DartWorker       benchmark.exe       [.] 0x000000000034a3a9
     0.00%  DartWorker       benchmark.exe       [.] 0x000000000034a3ad
     0.00%  DartWorker       benchmark.exe       [.] 0x000000000034a839
     0.00%  DartWorker       benchmark.exe       [.] 0x000000000034a848
     0.00%  DartWorker       benchmark.exe       [.] 0x000000000034a850
     0.00%  DartWorker       benchmark.exe       [.] 0x000000000034a887
     0.00%  DartWorker       benchmark.exe       [.] 0x000000000034ab0e
     0.00%  DartWorker       benchmark.exe       [.] 0x000000000034ab18
     0.00%  DartWorker       benchmark.exe       [.] 0x000000000034b3ad
     0.00%  DartWorker       benchmark.exe       [.] 0x000000000034b3b2
     0.00%  DartWorker       benchmark.exe       [.] 0x000000000034b483
     0.00%  DartWorker       benchmark.exe       [.] 0x000000000034b49d
     0.00%  DartWorker       benchmark.exe       [.] 0x000000000034b4a0
     0.00%  DartWorker       benchmark.exe       [.] 0x000000000034b4b6
     0.00%  DartWorker       benchmark.exe       [.] 0x000000000034b4bb
     0.00%  DartWorker       benchmark.exe       [.] 0x000000000034b4c8
     0.00%  DartWorker       benchmark.exe       [.] 0x000000000034b600
     0.00%  DartWorker       benchmark.exe       [.] 0x000000000034b67a
     0.00%  DartWorker       benchmark.exe       [.] 0x000000000034b69f
     0.00%  DartWorker       benchmark.exe       [.] 0x000000000034b6af
     0.00%  DartWorker       benchmark.exe       [.] 0x000000000034b76a
     0.00%  DartWorker       benchmark.exe       [.] 0x000000000034b802
     0.00%  DartWorker       benchmark.exe       [.] 0x000000000034b89c
     0.00%  DartWorker       benchmark.exe       [.] 0x000000000034b8af
     0.00%  DartWorker       benchmark.exe       [.] 0x000000000034b8e8
     0.00%  DartWorker       benchmark.exe       [.] 0x000000000034b90f
     0.00%  DartWorker       benchmark.exe       [.] 0x000000000034b940
     0.00%  DartWorker       benchmark.exe       [.] 0x000000000034b966
     0.00%  DartWorker       benchmark.exe       [.] 0x000000000034b99a
     0.00%  DartWorker       benchmark.exe       [.] 0x000000000034b9fb
     0.00%  DartWorker       benchmark.exe       [.] 0x000000000034ba0a
     0.00%  DartWorker       benchmark.exe       [.] 0x000000000034c2ea
     0.00%  DartWorker       benchmark.exe       [.] 0x000000000034c829
     0.00%  DartWorker       benchmark.exe       [.] 0x000000000034c898
     0.00%  DartWorker       benchmark.exe       [.] 0x000000000034c904
     0.00%  DartWorker       benchmark.exe       [.] 0x000000000034c909
     0.00%  DartWorker       benchmark.exe       [.] 0x000000000034d786
     0.00%  DartWorker       benchmark.exe       [.] 0x000000000034d7a3
     0.00%  DartWorker       benchmark.exe       [.] 0x000000000034d7b3
     0.00%  DartWorker       benchmark.exe       [.] 0x000000000034d7b4
     0.00%  DartWorker       benchmark.exe       [.] 0x000000000034ee6d
     0.00%  DartWorker       benchmark.exe       [.] 0x000000000034eea1
     0.00%  DartWorker       benchmark.exe       [.] 0x000000000034eecb
     0.00%  DartWorker       benchmark.exe       [.] 0x000000000034ef08
     0.00%  DartWorker       benchmark.exe       [.] 0x0000000000351084
     0.00%  DartWorker       benchmark.exe       [.] 0x000000000035108d
     0.00%  DartWorker       benchmark.exe       [.] 0x00000000003510b2
     0.00%  DartWorker       benchmark.exe       [.] 0x00000000003510ce
     0.00%  DartWorker       benchmark.exe       [.] 0x00000000003510e9
     0.00%  DartWorker       benchmark.exe       [.] 0x00000000003510f1
     0.00%  DartWorker       benchmark.exe       [.] 0x00000000003510fa
     0.00%  DartWorker       benchmark.exe       [.] 0x00000000003510fd
     0.00%  DartWorker       benchmark.exe       [.] 0x00000000003541a6
     0.00%  DartWorker       benchmark.exe       [.] 0x0000000000354218
     0.00%  DartWorker       benchmark.exe       [.] 0x0000000000361b21
     0.00%  DartWorker       benchmark.exe       [.] 0x0000000000361b51
     0.00%  DartWorker       benchmark.exe       [.] 0x0000000000361c9e
     0.00%  DartWorker       benchmark.exe       [.] 0x0000000000363020
     0.00%  DartWorker       benchmark.exe       [.] 0x000000000037d5a0
     0.00%  DartWorker       benchmark.exe       [.] 0x000000000037d5a4
     0.00%  DartWorker       benchmark.exe       [.] 0x000000000037d5b5
     0.00%  DartWorker       benchmark.exe       [.] 0x000000000039dc04
     0.00%  DartWorker       benchmark.exe       [.] 0x000000000039e3d0
     0.00%  DartWorker       benchmark.exe       [.] 0x000000000039e3d8
     0.00%  DartWorker       benchmark.exe       [.] 0x000000000039e3e1
     0.00%  DartWorker       benchmark.exe       [.] 0x000000000039e648
     0.00%  DartWorker       benchmark.exe       [.] 0x000000000039ea80
     0.00%  DartWorker       benchmark.exe       [.] 0x000000000039eda4
     0.00%  DartWorker       benchmark.exe       [.] 0x000000000039eda5
     0.00%  DartWorker       benchmark.exe       [.] 0x000000000039ee46
     0.00%  DartWorker       benchmark.exe       [.] 0x000000000039ee6e
     0.00%  DartWorker       benchmark.exe       [.] 0x000000000039fe2f
     0.00%  DartWorker       benchmark.exe       [.] 0x000000000039fe3f
     0.00%  DartWorker       benchmark.exe       [.] 0x00000000003d4224
     0.00%  DartWorker       benchmark.exe       [.] 0x00000000003d436c
     0.00%  DartWorker       benchmark.exe       [.] 0x00000000003d437f
     0.00%  DartWorker       benchmark.exe       [.] 0x00000000003d440b
     0.00%  DartWorker       benchmark.exe       [.] 0x00000000003d47d0
     0.00%  DartWorker       benchmark.exe       [.] 0x00000000003d47ef
     0.00%  DartWorker       benchmark.exe       [.] 0x00000000003d47f2
     0.00%  DartWorker       benchmark.exe       [.] 0x00000000003d47f9
     0.00%  DartWorker       benchmark.exe       [.] 0x00000000003d5d20
     0.00%  DartWorker       benchmark.exe       [.] 0x00000000003d5e84
     0.00%  DartWorker       benchmark.exe       [.] 0x00000000003d61fa
     0.00%  DartWorker       benchmark.exe       [.] 0x00000000003d620e
     0.00%  DartWorker       benchmark.exe       [.] 0x00000000003d624d
     0.00%  DartWorker       benchmark.exe       [.] 0x00000000003d626c
     0.00%  DartWorker       benchmark.exe       [.] 0x00000000003d628f
     0.00%  DartWorker       benchmark.exe       [.] 0x00000000003d629f
     0.00%  DartWorker       benchmark.exe       [.] 0x00000000003d62cd
     0.00%  DartWorker       benchmark.exe       [.] 0x00000000003d91a0
     0.00%  DartWorker       benchmark.exe       [.] 0x00000000003d91a1
     0.00%  DartWorker       benchmark.exe       [.] 0x00000000003d91bf
     0.00%  DartWorker       benchmark.exe       [.] 0x00000000003d929b
     0.00%  DartWorker       benchmark.exe       [.] 0x00000000003d95f1
     0.00%  DartWorker       benchmark.exe       [.] 0x00000000003dd321
     0.00%  DartWorker       benchmark.exe       [.] 0x00000000003dde77
     0.00%  DartWorker       benchmark.exe       [.] 0x00000000003e7190
     0.00%  DartWorker       benchmark.exe       [.] 0x00000000003e73c1
     0.00%  DartWorker       benchmark.exe       [.] 0x00000000003e73c6
     0.00%  DartWorker       benchmark.exe       [.] 0x00000000003e73c8
     0.00%  DartWorker       benchmark.exe       [.] 0x00000000003e7426
     0.00%  DartWorker       benchmark.exe       [.] 0x00000000003e9bc4
     0.00%  DartWorker       benchmark.exe       [.] 0x00000000003e9c60
     0.00%  DartWorker       benchmark.exe       [.] 0x00000000003e9ca6
     0.00%  DartWorker       benchmark.exe       [.] 0x00000000003e9cb4
     0.00%  DartWorker       benchmark.exe       [.] 0x00000000003ee180
     0.00%  DartWorker       benchmark.exe       [.] 0x00000000003ee8bc
     0.00%  DartWorker       benchmark.exe       [.] 0x00000000003ee8c7
     0.00%  DartWorker       benchmark.exe       [.] 0x00000000003ee909
     0.00%  DartWorker       benchmark.exe       [.] 0x00000000003ee960
     0.00%  DartWorker       benchmark.exe       [.] 0x00000000003ee964
     0.00%  DartWorker       benchmark.exe       [.] 0x00000000003ee982
     0.00%  DartWorker       benchmark.exe       [.] 0x00000000003ee9ba
     0.00%  DartWorker       benchmark.exe       [.] 0x00000000003eeaf0
     0.00%  DartWorker       benchmark.exe       [.] 0x00000000003eeaf9
     0.00%  DartWorker       benchmark.exe       [.] 0x00000000003eeb46
     0.00%  DartWorker       benchmark.exe       [.] 0x00000000003eeb4f
     0.00%  DartWorker       benchmark.exe       [.] 0x00000000003eeb5f
     0.00%  DartWorker       benchmark.exe       [.] 0x00000000003eeb66
     0.00%  DartWorker       benchmark.exe       [.] 0x00000000003eebc1
     0.00%  DartWorker       benchmark.exe       [.] 0x00000000003eebdd
     0.00%  DartWorker       benchmark.exe       [.] 0x00000000003eebe7
     0.00%  DartWorker       benchmark.exe       [.] 0x00000000003eebeb
     0.00%  DartWorker       benchmark.exe       [.] 0x00000000003eebf5
     0.00%  DartWorker       benchmark.exe       [.] 0x00000000003eebf9
     0.00%  DartWorker       benchmark.exe       [.] 0x00000000003eec1c
     0.00%  DartWorker       benchmark.exe       [.] 0x00000000003eec3f
     0.00%  DartWorker       benchmark.exe       [.] 0x0000000000532514
     0.00%  DartWorker       benchmark.exe       [.] 0x000000000053252d
     0.00%  DartWorker       benchmark.exe       [.] 0x0000000000532575
     0.00%  DartWorker       benchmark.exe       [.] 0x0000000000532585
     0.00%  DartWorker       benchmark.exe       [.] 0x00000000005325d9
     0.00%  DartWorker       benchmark.exe       [.] 0x00000000005325de
     0.00%  DartWorker       benchmark.exe       [.] 0x00000000005325fd
     0.00%  DartWorker       benchmark.exe       [.] 0x000000000053287d
     0.00%  DartWorker       benchmark.exe       [.] 0x0000000000532b64
     0.00%  DartWorker       benchmark.exe       [.] 0x0000000000532b6c
     0.00%  DartWorker       benchmark.exe       [.] 0x0000000000532b90
     0.00%  DartWorker       benchmark.exe       [.] 0x0000000000536bcc
     0.00%  DartWorker       benchmark.exe       [.] 0x0000000000536bfd
     0.00%  DartWorker       benchmark.exe       [.] 0x000000000053a6f3
     0.00%  DartWorker       benchmark.exe       [.] 0x000000000054098c
     0.00%  DartWorker       benchmark.exe       [.] 0x0000000000540a46
     0.00%  DartWorker       benchmark.exe       [.] 0x0000000000540a6c
     0.00%  DartWorker       benchmark.exe       [.] 0x0000000000540aa7
     0.00%  DartWorker       benchmark.exe       [.] 0x0000000000540ddd
     0.00%  DartWorker       benchmark.exe       [.] 0x000000000054664d
     0.00%  DartWorker       benchmark.exe       [.] 0x000000000054665e
     0.00%  DartWorker       benchmark.exe       [.] 0x0000000000546708
     0.00%  DartWorker       benchmark.exe       [.] 0x000000000054671f
     0.00%  DartWorker       benchmark.exe       [.] 0x000000000054ba08
     0.00%  DartWorker       benchmark.exe       [.] 0x000000000054ba13
     0.00%  DartWorker       benchmark.exe       [.] 0x000000000054ba55
     0.00%  DartWorker       benchmark.exe       [.] 0x000000000054ba73
     0.00%  DartWorker       benchmark.exe       [.] 0x000000000054ba87
     0.00%  DartWorker       benchmark.exe       [.] 0x000000000054bac1
     0.00%  DartWorker       benchmark.exe       [.] 0x000000000054bad3
     0.00%  DartWorker       benchmark.exe       [.] 0x000000000054baf4
     0.00%  DartWorker       benchmark.exe       [.] 0x000000000054bb7f
     0.00%  DartWorker       benchmark.exe       [.] 0x000000000054c918
     0.00%  DartWorker       benchmark.exe       [.] 0x000000000054c9c0
     0.00%  DartWorker       benchmark.exe       [.] 0x000000000054c9c6
     0.00%  DartWorker       benchmark.exe       [.] 0x000000000057d245
     0.00%  DartWorker       benchmark.exe       [.] 0x000000000057d7e7
     0.00%  DartWorker       benchmark.exe       [.] 0x000000000057d7ee
     0.00%  DartWorker       benchmark.exe       [.] 0x000000000057d7f1
     0.00%  DartWorker       benchmark.exe       [.] 0x000000000057d81a
     0.00%  DartWorker       benchmark.exe       [.] 0x000000000057d8a5
     0.00%  DartWorker       benchmark.exe       [.] 0x000000000057e5e1
     0.00%  DartWorker       benchmark.exe       [.] 0x000000000057e5fb
     0.00%  DartWorker       benchmark.exe       [.] 0x000000000057e684
     0.00%  DartWorker       benchmark.exe       [.] 0x000000000057e7b9
     0.00%  DartWorker       benchmark.exe       [.] 0x000000000057e7ec
     0.00%  DartWorker       benchmark.exe       [.] 0x000000000057e897
     0.00%  DartWorker       benchmark.exe       [.] 0x000000000057e962
     0.00%  DartWorker       benchmark.exe       [.] 0x000000000057e985
     0.00%  DartWorker       benchmark.exe       [.] 0x000000000057e9d5
     0.00%  DartWorker       benchmark.exe       [.] 0x000000000057ea24
     0.00%  DartWorker       benchmark.exe       [.] 0x000000000057eb12
     0.00%  DartWorker       benchmark.exe       [.] 0x000000000057ebce
     0.00%  DartWorker       benchmark.exe       [.] 0x000000000057ec4d
